Date,Particulate Microcystin (µg/L),Dissolved Microcystin (µg/L)
5/15/2012,<0.1,
5/31/2012,<0.1,
6/22/2012,<0.1,
7/12/2012,0.45,
7/23/2012,1.29,
7/31/2012,0.21,
8/6/2012,0.52,
8/13/2012,0.42,
8/20/2012,0.26,
8/29/2012,0.79,
9/5/2012,1.37,
9/12/2012,0.94,
9/17/2012,1.29,
5/29/2013,<0.1,
6/10/2013,<0.1,
6/17/2013,0.44,
6/24/2013,<0.1,
7/3/2013,<0.1,
7/8/2013,<0.1,
7/15/2013,<0.1,
7/22/2013,0.22,
7/29/2013,3.86,
8/5/2013,28.52,
8/12/2013,13.21,
8/19/2013,56.35,
8/26/2013,43.19,
9/3/2013,20.78,
9/10/2013,8.78,
9/17/2013,2.49,
9/23/2013,2.11,
10/15/2013,0.5,
10/21/2013,0.51,
5/27/2014,0.12,
6/16/2014,0.32,
6/30/2014,0.4,
7/8/2014,<0.1,
7/14/2014,0.57,
7/21/2014,19.18,
7/29/2014,37.06,
8/4/2014,10.14,
8/11/2014,36.7,
8/18/2014,4.14,
8/25/2014,3.6,
9/2/2014,6.6,0.17
9/8/2014,2.1,1.94
9/15/2014,0.4,0.42
9/23/2014,3.7,1.3
9/29/2014,1.7,1
10/6/2014,2.5,0.5
10/15/2014,0.62,0.3
10/20/2014,<0.1,0.7
10/27/2014,<0.1,0.35
11/3/2014,<0.1,0.23
6/8/2015,<0.1,<0.1
6/8/2015,<0.1,<0.1
6/18/2015,<0.1,<0.1
6/18/2015,<0.1,<0.1
6/22/2015,<0.1,<0.1
6/22/2015,<0.1,<0.1
6/29/2015,<0.1,<0.1
6/29/2015,<0.1,<0.1
7/6/2015,<0.1,<0.1
7/6/2015,<0.1,<0.1
7/13/2015,<0.1,<0.1
7/13/2015,<0.1,<0.1
7/20/2015,<0.1,<0.1
7/20/2015,<0.1,<0.1
7/27/2015,<0.1,0.17
8/4/2015,1.65,0.23
8/10/2015,3.1,0.15
8/10/2015,55.64,0.47
8/17/2015,4.44,0.52
8/24/2015,2.01,0.3
8/31/2015,0.24,0.19
9/8/2015,3.65,0.49
9/14/2015,3.04,0.41
9/21/2015,1.95,0.44
9/28/2015,1.99,0.34
10/5/2015,0.6,0.18
10/14/2015,<0.1,<0.1
10/19/2015,<0.1,<0.1
5/31/2016,<0.1,<0.1
6/13/2016,0.1,0.16
6/27/2016,0.6,0.45
7/5/2016,0.14,0.11
7/11/2016,0.55,0.15
7/18/2016,1.71,0.3
7/25/2016,4.69,1.76
8/1/2016,7.26,0.38
8/9/2016,4.7,0.3
8/15/2016,8.39,0.36
8/22/2016,21.26,0.24
8/22/2016,47.03,0.7
8/29/2016,0.87,0.38
9/6/2016,2.3,0.36
9/12/2016,2.45,0.33
9/19/2016,1.81,0.28
9/28/2016,0.32,0.13
10/3/2016,0.27,0.29
10/11/2016,0.13,0.24
10/17/2016,<0.1,0.19
3/23/2017,,
4/25/2017,,
5/8/2017,,
5/30/2017,<0.1,<0.1
6/12/2017,<0.1,0.11
6/26/2017,<0.1,<0.1
7/5/2017,<0.1,<0.1
7/11/2017,<0.1,<0.1
7/17/2017,<0.1,<0.1
7/24/2017,<0.1,0.1
7/31/2017,1.68,<0.1
8/7/2017,5.12,0.24
8/7/2017,20.17,0.47
8/14/2017,288.64,0.59
8/14/2017,21.63,1.13
8/21/2017,7.75,0.54
8/28/2017,16.04,0.4
9/5/2017,5.56,0.36
9/11/2017,0.72,0.29
9/18/2017,0.76,0.18
9/25/2017,1.1,0.31
10/2/2017,1.51,<0.1
10/10/2017,0.56,0.21
10/16/2017,0.45,0.16
5/21/2018,<0.1,<0.1
6/12/2018,<0.1,<0.1
6/25/2018,<0.1,0.11
7/2/2018,<0.1,<0.1
7/9/2018,<0.1,<0.1
7/16/2018,0.32,0.18
7/23/2018,0.73,0.23
7/30/2018,1.91,0.13
8/6/2018,1.1,0.11
8/13/2018,1.49,0.18
8/20/2018,2.76,0.23
8/27/2018,2.15,0.6
9/4/2018,3.49,0.31
9/11/2018,0.41,0.2
9/17/2018,<0.1,0.13
9/25/2018,<0.1,<0.1
10/1/2018,0.16,0.13
10/9/2018,<0.1,0.1
5/21/2019,<0.1,2.29
6/3/2019,<0.1,1.03
6/17/2019,<0.1,0.44
7/1/2019,<0.1,5.74
7/8/2019,<0.1,4.64
7/15/2019,0.2,160.84
7/22/2019,<0.1,211.41
7/29/2019,0.15,100.85
8/5/2019,<0.1,135.8
8/5/2019,<0.1,164.48
8/12/2019,<0.1,102.27
8/19/2019,0.74,
8/19/2019,1.52,
8/28/2019,0.78,49.93
9/3/2019,0.51,23.05
9/9/2019,<0.1,32.22
9/16/2019,<0.1,0.68
9/24/2019,<0.1,7.61
10/7/2019,<0.1,1.22
6/16/2020,<0.1,0.03
6/29/2020,<0.1,7.32
7/6/2020,0.11,2.39
7/13/2020,0.44,50.9
7/20/2020,0.53,114.76
7/28/2020,0.24,36.76
8/4/2020,0.27,11.06
8/10/2020,0.3,19.22
8/17/2020,0.28,80.26
8/24/2020,0.17,60.81
9/1/2020,0.23,16.94
9/9/2020,0.33,9.54
9/15/2020,0.33,1.21
9/21/2020,0.21,12.97
9/28/2020,0.2,4.24
10/5/2020,0.1,6.45
4/27/2021,<0.1,1.78
5/24/2021,0.14,18.25
6/7/2021,<0.1,1.8
6/22/2021,0.19,0.1
7/6/2021,<0.1,0.37
7/13/2021,0.12,0.76
7/19/2021,0.22,0.3
7/26/2021,<0.1,0.9
8/2/2021,<0.1,0.41
8/9/2021,0.39,12.61
8/16/2021,0.33,5.71
8/23/2021,0.39,7.57
8/30/2021,0.39,5.9
9/7/2021,0.51,38.37
9/13/2021,0.37,33.71
9/20/2021,0.35,5.75
9/27/2021,0.22,0.87
10/4/2021,0.21,4.43
10/12/2021,0.29,1.32
10/18/2021,<0.1,0.24
10/27/2021,0.11,0.73
